BİRİM ID,AÇIKLAMASI
136,-
159,%90 KURU ÜRÜN KİLOGRAMI
142,ADET(UNIT)
141,ADET-ÇİFT
137,ALTIN AYARI
155,AZOTUN KİLOGRAMI
138,BAS
180,BİN ADET
179,BİN KİLOWATT SAAT
144,BİN LİTRE
177,BİN METRE KÜP
143,BRÜT KALORİ DEĞERİ
176,ÇİFT
150,DİFOSFOR PENTAOKSİT KİLOGRAMI
145,FISSILE İZOTOP GRAMI
147,GRAM
148,GROSS TON
146,GÜMÜŞ
152,HİDROJEN PEROKSİT KİLOGRAMI
172,HÜCRE ADEDİ
173,KARAT
157,Kg POTASYUM OKSİD
139,KG-METRE KARE
151,KİLOGRAM
156,KİLOGRAM POTASYUM HİDROKSİT
164,KİLOGRAM POTASYUM OKSİT
166,KİLOGRAM-ADET
153,KİLOGRAM-BAŞ
158,KİLOGRAM-ÇİFT
163,KİLOWATT
162,KİLOWATT SAAT
165,KURUTULMUŞ NET AĞIRLIKLI KİLOGRAMI
168,LİTRE
154,METİL AMİNLERİN KİLOGRAMI
171,METRE
169,METRE KARE
170,METRE KÜP
175,OTV birim fiyatı
174,OTV Maktu Vergi
167,SAF ALKOL LİTRESİ
178,SET
160,SODYUM HİDROKSİT KİLOGRAMI
140,TON BAŞINA TAŞIMA KAPASİTESİ
161,URANYUM KİLOGRAMI
149,YÜZ ADET
