Kod,Tanım
A,"TARIM, ORMANCILIK VE BALIKÇILIK"
01,Bitkisel ve hayvansal üretim ile avcılık ve ilgili hizmet faaliyetleri
01.1,Tek yıllık (uzun ömürlü olmayan) bitkisel ürünlerin yetiştirilmesi
01.11,"Tahılların (pirinç hariç), baklagillerin ve yağlı tohumların yetiştirilmesi"
01.11.07,Baklagillerin yetiştirilmesi
01.11.12,Tahıl yetiştiriciliği
01.11.14,Yağlı tohum yetiştiriciliği
01.12,Çeltik (kabuklu pirinç) yetiştirilmesi
01.12.14,Çeltik (kabuklu pirinç) yetiştirilmesi
01.13,"Sebze, kavun-karpuz, kök ve yumru sebzelerin yetiştirilmesi"
01.13.17,Şeker pancarı yetiştirilmesi
01.13.18,Yenilebilir kök ve yumruların yetiştiriciliği
01.13.19,"Diğer sebze tohumlarının yetiştiriciliği (şeker pancarı tohumu dahil, diğer pancar tohumları hariç)"
01.13.20,Meyvesi yenen sebzelerin yetiştirilmesi
01.13.21,Mantar ve yer mantarları (domalan) yetiştirilmesi
01.13.22,"Kökleri, soğanları, yumruları tüketilen sebzelerin ve diğer benzer sebzelerin yetiştirilmesi"
01.13.23,Yapraklı veya saplı sebzelerin yetiştirilmesi
01.14,Şeker kamışı yetiştirilmesi
01.14.01,Şeker kamışı yetiştirilmesi
01.15,Tütün yetiştirilmesi
01.15.01,Tütün yetiştirilmesi
01.16,Lifli bitkilerin yetiştirilmesi
01.16.02,Pamuk yetiştiriciliği
01.16.90,Diğer lifli bitkilerin yetiştirilmesi
01.19,Tek yıllık (uzun ömürlü olmayan) diğer bitkisel ürünlerin yetiştirilmesi
01.19.01,Hayvan yemi bitkilerinin yetiştirilmesi (şeker pancarı tohumları hariç)
01.19.02,"Çiçek yetiştirilmesi (lale, kasımpatı, zambak, gül vb. ile bunların tohumları)"
01.19.99,Başka yerde sınıflandırılmamış tek yıllık diğer bitkisel ürünlerin yetiştirilmesi
01.2,Çok yıllık (uzun ömürlü) bitkisel ürünlerin yetiştirilmesi
01.21,Üzüm yetiştirilmesi
01.21.05,Üzüm yetiştirilmesi
