GTIP KODU,AÇIKLAMASI
330741000000,"""Agarbatti"" ve yakılarak kullanılan kokulu diğer müstahzarlar"
200599100000,"""Capsicum""cinsi meyvalar (tatlı biberler ve dolmalık biber hariç)"
240391000000,"""Homojenize"" veya yeniden tertip edilmiş tütün"
902110900012,"""Kemik tespit malzemesi (implantlar) (tıbbi çiviler, tıbbi plaklar dahil)"
480640100000,"""Kristal"" denilen kağıt"
960910100000,"""Kurşunları"" grafitten olanlar"
020744710000,"""palto"" denilen kısımlar"
020745710000,"""palto"" denilen kısımlar"
391220110011,"% 12,6'dan az oranda azot içeren ve % 25'den fazla oranda su"
391220190011,"% 12,6'dan az oranda azot içeren ve % 25'den fazla oranda su"
480100001000,% 70'den fazla odun hamuru içeren m² .ağırlığı 5055gr. (dahil) arasında
520420000011,% 85 veya daha fazla pamuk içerenler
520420000012,% 85'den az pamuk içerenler
271113910000,% 90'dan daha fazla saflıkta fakat % 95'den daha az saflıkta
271112940000,% 90'dan daha fazla saflıkta fakat % 99'dan daha az saflıkta
720837009012,"%0,006 veya daha az karbon içerenler"
720838009012,"%0,006 veya daha az karbon içerenler"
720839009012,"%0,006 veya daha az karbon içerenler"
690220999012,%5070 (dahil) arası alumin içeren ateş tuğlaları
690220999011,%50'den az alumin içeren ateş tuğlaları
220720001001,%99 veya daha yüksek saflıkta olanlar
293147000000,"(5Etil2metil2oksido1,3,2dioksafosfinan5il)metil metil metilfosfonat"
293149400000,"(Nitrilotrimethanediyl)tris(phosphonic acid), {ethane1,2diylbis[nitrilobis(methy"
293090959062,?methyl4methylthiophenethylamine (4MTA)
700232000000,0 oC ile 300 oC'Ier arasındaki ısıda doğrusal genleşme katsayısı 5x10 6/
702000300000,0 oC ile 300 oC'Ier arasındaki ısıda genleşme katsayısı 5x10 6/ Kelvin'i
701342000000,00 C ile 300 0C'ler arasındaki ısıda doğrusal genleşme katsayısı
220299990000,04.01 iIa 04.04 pozisyonlarındaki ürünlerden elde edilen katı yağ
220299910000,04.01 ila 04.04 pozisyonlarındaki ürünlerden elde edilen
220299950000,04.01 ila 04.04 pozisyonlarındaki ürünlerden elde edilen katı yağ
110610000000,07.13 Pozisyonuna giren kuru baklagillere ait olanlar
993024000000,1 ila 24. fasıllardaki eşya
993124000000,1 ila 24. fasıllardaki eşya
291560110000,"1 İzopropil 2,2 dimetiltrimetilen diizobütirat"
291030000000,"1 klor 2,3 epoksipropan (epiklorohidrin)"
292145000011,1 Naftilamin (alfa naftilamin)
292145000012,1 Naftilamin hidroklorür
292145000019,1 Naftilaminin diğer tuzları
290715100000,1 Naftol (Alfa naftol)
293292000000,"1(1,3Benzodioksol5il)propan2one"
293359950024,1(2 3dichlorophenyl) piperazine
290343000013,"1,1 Difloretan (HFC152a)"
290344000012,"1,1,1 trifloretan (HFC143a)"
290345000011,"1,1,1,2 tetrafloretan (HFC134a)"
290346000012,"1,1,1,2,2,3 hekzaflorpropan (HFC236cb)"
290919900025,"1,1,1,2,2,3,3,4,4nonafloro4metoksibütan (HFE449sl)"
290919900022,"1,1,1,2,2,3,3heptafloro3metoksipropan (HFE347mcc3)"
290348000012,"1,1,1,2,2,3,4,5,5,5 dekaflorpentan (HFC4310mee)"
290346000013,"1,1,1,2,3,3 hekzaflorpropan (HFC236ea)"
290346000011,"1,1,1,2,3,3,3 heptaflorpropan (HFC227ea)"
290919900028,"1,1,1,2,3,3,3heptafloro2metoksipropan (HFE347mmy1)"
290348000011,"1,1,1,3,3 pentaflorbütan (HFC365mfc)"
290347000011,"1,1,1,3,3 Pentafloropropan (HFC245fa)"
290346000014,"1,1,1,3,3,3 hekzaflorpropan (HFC236fa)"
290919900038,"1,1,1,3,3,3hekzafloropropan2yl metil eter (HFE356mm1)"
382714000000,"1,1,1trikloroetan (metil kloroform) içerenler"
290344000013,"1,1,2 trifloretan (HFC143)"
290345000012,"1,1,2,2 tetrafloretan (HFC134)"
290347000012,"1,1,2,2,3 pentaflorpropan (HFC245ca)"
290919900024,"1,1,2,2,3,3hekzafloropropil metil eter (HFE356pcc3)"
290919900034,"1,1,2,2,3,3hekzafloropropil triflorometil eter (HFE329mcc2)"
290919900021,"1,1,2,2tetrafloro1metoksi etan (HFE254cb2)"
290919900023,"1,1,2,2tetrafloroetil 2,2,2trifloroetil eter (HFE347pcf2)"
290919900037,"1,1,2,3,3,3hekzafloropropil metil eter (HFE356mec3)"
292119400000,"1,1,3,3 Tetrametilbütilamin"
290369190011,"1,1Dibromoetan"
290930350000,"1,2 Bis (2,4,6 Tribromofenoksi) etan [Akrilonitril bütadien"
290129009013,"1,2 Butadien"
290919900030,"1,2,2,2tetrafloroetil triflorometil eter (HFE227ea)"
290919900027,"1,2bis(diflorometoksi)1,1,2,2tetrafloro etan (HFE338pcc13)"
290389100000,"1,2dibromo4(1,2dibromoetil)siklohekzan; tetrabromsiklooktan"
290343000012,"1,2difloroetan (HFC152)"
290124000000,"1,3 Butadien ve izopren"
293299005013,"1,3 Dioksalan"
293299005011,"1,3 Dioksan"
293090959025,"1,3bis (2kloretiltiyo)npropan"
293359200000,"1,4 Diazabisiklo (2,2,2) oktan (trietilendiamin)"
293299005012,"1,4 Dioksan (dietilendioksit)"
293090959026,"1,4bis (2kloretiltiyo)nbütan"
291469100000,"1,4Naftokinon"
293090959045,"1,5bis (2kloretiltiyo)npentan"
970210000000,100 yaşını geçenler
970310000000,100 yaşını geçenler
970531000000,100 yaşını geçenler
854449990000,1000 V.luk gerilim için olanlar
520527000000,"106,38 Desiteksten az, 83,33 (dahil) desiteksten fazla"
853650070000,11 A. i geçmeyen akım için olan elektromekanik ani hareketli ( snapaction ) anahtarlar
853630900000,125 A.i geçen akım için olanlar
520615000000,125 Desiteksten az olanlar (metrik numarası 80'i geçen)
