,
Kod,Tanım
0111.0.01,Durum buğdayı (makarnalık buğday)
0111.0.02,Yumuşak buğday ve diğer buğdaylar
0111.0.03,Mısır
0111.0.04,Dış zarı çıkartılmamış pirinç (çeltik)
0111.0.05,Arpa
0111.0.06,çavdar ve yulaf
0111.0.07,Diğer tahıllar
0111.0.08,Patates
0111.0.09,Kuru baklagil sebzeler (kabuklu)
0111.0.10,Yüksek oranda nişasta ve inülin içeren kök ve yumru bitkiler
0111.0.11,Soya fasülyesi
0111.0.12,Yer fıstığı
0111.0.13,"Ayçiçeği, susam, aspir, kolza ve hardal tohumu"
0111.0.14,Çiğit (pamuk tohumu)
0111.0.15,B.y.s. yağlı tohumlar ve yağlı meyveler
0111.0.16,Tütün (işlenmemiş)
0111.0.17,Şeker pancarı
0111.0.18,Şeker kamışı
0111.0.19,Saman ve yem bitkileri
0111.0.20,Pamuk (çırçırlanmış ya da çırçırlanmamış)
0111.0.21,"Jüt ve diğer bitki kabuğu kaynaklı tekstil lifleri (keten, kenevir ve rami hariç)"
0111.0.22,Keten ve kenevir; sisal keneviri ve diğer tekstil lifleri (ham)
0111.0.23,Doğal kauçuk
0111.0.24,"Parfümeride, eczacılıkta v.b. kullanılan bitkiler; haşarat, mantar v.b. öldürücü ilaçların yapımında kullanılan bitkiler"
0111.0.25,Şeker pancarı tohumu; yem bitkisi tohumları
0111.0.90,Diğer bitkisel hamaddeler
0112.0.01,"Soğansı, yumru ve kök sebzeler"
0112.0.02,Meyvesi yenen sebzeler
0112.0.03,Yaprağı yenen sebzeler
0112.0.04,Baklagil sebzeler
0112.0.05,B.y.s. diğer sebzeler
0112.0.06,"Canlı bitkiler; çiçek soğanı, yumru ve kökler, aşı kalemi ve çelikler; mantar tohumu"
0112.0.07,"Buket, çelenk v.b. yapımında kullanılan kesme çiçek ve çiçek sürgünleri"
0112.0.08,Çiçek ve meyve tohumları
0112.0.09,Sebze tohumları
0113.0.01,Sofralık üzüm
0113.0.02,Diğer yaş üzüm
0113.0.03,"Hurma, incir, muz, hindistan cevizi, Brezilya kestanesi, maun cevizi, ananas, avokado"
0113.0.04,Turunçgiller
0113.0.05,Diğer meyveler (yumuşak çekirdekli)
0113.0.06,Diğer meyveler (sert çekirdekli)
0113.0.07,"Diğer meyveler (sert kabuklular, b.y.s. diğer meyveler)"
0113.0.08,Zeytin
0113.0.09,"Kahve, kavrulmamış, kafeini alınmamış"
0113.0.10,"Yeşil çay (fermente edilmemiş), siyah çay (tamamen ya da kısmen fermente edilmiş)"
0113.0.11,Paraguay çayı (maté)
0113.0.12,Kakao çekirdeği
0113.0.13,Baharatlar (işlenmemiş)
0121.1.01,Sığır (saf kültür)
0121.1.02,Sığır (kültür melezi)
0121.1.03,Sığır (yerli-diğer)
0121.1.04,Manda
0121.1.05,Damızlık sığır yetiştiriciliği
0121.1.06,Sığırdan elde edilen ham süt
0121.1.07,Sığır spermi üretimi (dondurulmuş)
0121.1.08,Deve
0121.2.01,Merinos Koyunu
0121.2.02,Yerli Koyun
0121.2.03,Damızlık koyun yetiştiriciliği
0121.2.04,Kıl keçisi
0121.2.05,Ankara keçisi
0121.2.06,Damızlık keçi yetiştiriciliği
0121.2.07,At yetiştiriciliği (iş atı)
0121.2.08,At yetiştiriciliği (koşu atı)
0121.2.09,Katır
0121.2.10,Eşek
0121.2.11,Bardo
0121.2.12,Koyundan elde edilen ham süt
0121.2.13,Keçiden elde edilen ham süt
