0111,TAHIL VE BAŞKA YERDE SINIFLANDIRILMAMIŞ DİĞER BİTKİSEL ÜRÜNLERİN YETİŞTİRİLMESİ
0112,"SEBZE, BAHÇE VE KÜLTÜR BİTKİLERİ İLE FİDANLIK ÜRÜNLERİNİN YETİŞTİRİLMESİ"
0113,"MEYVE, SERT KABUKLULAR, İÇECEK VE BAHARAT BİTKİLERİNİN YETİŞTİRİLMESİ"
0121,"KOYUN, KEÇİ, SIĞIR, AT, EŞEK, BARDO, KATIR VB. YETİŞTİRİLMESİ; SÜT HAYVANCILIĞI"
0122,DİĞER HAYVANLARIN YETİŞTIRİLMESİ; BAŞKA YERDE SINIFLANDIRILMAMIŞ HAYVANSAL ÜRÜNLERİN ÜRETİMİ
0130,HAYVANCILIKLA BİRLİKTE BİTKİSEL ÜRÜNLERİN YETİŞTİRİLMESİ (KARMA ÇİFTÇİLİK)
0140,TARIM VE HAYVANCILIKLA İLGİLİ HİZMETLER (VETERİNERLİK HARİÇ)
0150,"AVCILIK,TUZAKLA AVLAMA, AV HAYVANLARI ÜRETİCİLİĞİ VE İLGİLİ HİZMETLER"
0200,"ORMANCILIK, TOMRUKÇULUK VE İLGİLİ HİZMET FAALİYETLERİ"
0500,"BALIKÇILIK, BALIK ÜRETME VE YETİŞTİRME ÇİFTLİKLERİNİN İŞLETİLMESİ VE BALIKÇILIKLA İLGİLİ HİZMETLER"
1010,TAŞKÖMÜRÜ MADENCİLİĞİ
1020,LİNYİT MADENCİLİĞİ
1030,TURBA MADENCİLİĞİ
1110,HAM PETROL VE DOĞALGAZ ÇIKARIMI
1120,"TETKİK VE ARAŞTIRMA HARİÇ, PETROL VE DOĞALGAZ ÇIKARIMI İLE İLGİLİ HİZMET FAALİYETLERİ"
1200,URANYUM VE TORYUM CEVHERİ MADENCİLİĞİ
1310,DEMİR CEVHERİ MADENCİLİĞİ
1320,URANYUM VE TORYUM CEVHERLERİ HARİÇ; DEMİR DIŞINDA KALAN METAL CEVHERLERİ MADENCİLİĞİ
1410,"KUM, KİL VE TAŞOCAKÇILIĞI"
1421,KİMYA VE GÜBRE SANAYİİNDE KULLANILAN MİNERALLERİN MADENCİLİĞİ
1422,TUZ MADENCİLİĞİ
1429,B.Y.S. DİĞER MADENCİLİK VE TAŞOCAKÇILIĞI
1511,MEZBAHACILIK; ETİN İŞLENMESİ VE SAKLANMASI
1512,BALIK VE BALIK ÜRÜNLERİNİN İŞLENMESİ VE SAKLANMASI
1513,SEBZE VE MEYVELERİN İŞLENMESİ VE SAKLANMASI
1514,BİTKİSEL VE HAYVANSAL SIVI VE KATI YAĞ İMALATI
1520,SÜT ÜRÜNLERİ İMALATI
1531,ÖĞÜTÜLMÜŞ TAHIL ÜRÜNLERİ İMALATI
1532,NİŞASTA VE NİŞASTA ÜRÜNLERİNİN İMALATI
1533,HAZIR HAYVAN YEMLERİ İMALATI
1541,FIRIN ÜRÜNLERİ İMALATI
1542,ŞEKER İMALATI
1543,"KAKAO, ÇİKOLATA VE ŞEKERLEME İMALATI"
1544,"MAKARNA, ŞEHRİYE, KUSKUS V.B. UNLU MAMÜLLERİN İMALATI"
1549,BAŞKA YERDE SINIFLANDIRILMAMIŞ GIDA MADDELERİ İMALATI
1551,"ALKOLLÜ İÇECEKLERİN DAMITILMASI, ARITILMASI VE KARIŞTIRILMASI; MAYALI MADDELERDEN ETİL ALKOL ÜRETİMİ"
1552,ŞARAP İMALATI
1553,BİRA VE MALT İMALATI
1554,"ALKOLSÜZ İÇECEK İMALATI, MADEN VE MEMBA SULARI ÜRETİMİ"
1600,TÜTÜN ÜRÜNLERİ İMALATI
1711,TEKSTİL ELYAFININ HAZIRLANMASI VE İPLİK HALİNE GETİRİLMESİ; TEKSTİL DOKUMACILIĞI
1712,TEKSTİLİN APRELENMESİ
1721,GİYİM EŞYASI DIŞINDAKİ HAZIR TEKSTİL ÜRÜNLERİ İMALATI
1722,HALI VE KİLİM İMALATI
1723,"HALAT, İP, SİCİM VE AĞ İMALATI"
1729,BAŞKA YERDE SINIFLANDIRILMAMIŞ TEKSTİL ÜRÜNLERİ İMALATI
1730,TRİKOTAJ (ÖRME) ÜRÜNLERİ İMALATI
1810,"KÜRK HARİÇ, GİYİM EŞYASI İMALATI"
1820,KÜRKÜN İŞLENMESİ VE BOYANMASI; KÜRK MAMÜLLERİ İMALATI
1911,DERİNİN TABAKLANMASI VE İŞLENMESİ
1912,"BAVUL, EL ÇANTASI VE BENZERLERİ İLE SARAÇLIK VE KOŞUM TAKIMI İMALATI"
1920,AYAKKABI İMALATI
2010,KERESTE VE PARKE SANAYİ
2021,"TAHTA PLAKA İMALATI; KONTRPLAK, YONGA LEVHA, SUNTA, DİĞER PANO VE TAHTALARIN İMALATI"
2022,İNŞAAT KERESTESİ VE DOĞRAMA İMALATI
2023,AĞAÇTAN YAPILAN AMBALAJ MALZEMELERİ İMALATI
2029,"DİĞER AĞAÇ ÜRÜNLERİ İMALATI; HASIR VE BUNA BENZER, ÖRÜLEREK YAPILAN MADDELERİN İMALATI"
2101,"KAĞIT HAMURU, KAĞIT VE MUKAVVA İMALATI"
2102,OLUKLU KARTON VE MUKAVVA İLE KAĞIT VE MUKAVVADAN YAPILAN AMBALAJLARIN İMALATI
2109,DİĞER KAĞIT VE MUKAVVA ÜRÜNLERİ İMALATI
2211,"KİTAP, BROŞÜR, MÜZİK KİTAPLARI VE DİĞER YAYINLARIN YAYIMI"
2212,"GAZETE, DERGİ VE SÜRELİ YAYINLARIN YAYIMI"
2213,"PLAK, KASET V.B. KAYITLI MEDYANIN YAYIMI"
2219,DİĞER YAYIMLAR
2221,BASIM
2222,BASIMLA İLGİLİ HİZMET FAALİYETLERİ
2230,"PLAK, KASET VB. KAYITLI MEDYANIN ÇOĞALTILMASI"
2310,KOK FIRINI ÜRÜNLERİ İMALATI
2320,RAFİNE EDİLMİŞ PETROL ÜRÜNLERİ İMALATI
2330,NÜKLEER YAKITIN ELDE EDİLMESİ
2411,ANA KİMYASAL MADDELERİN İMALATI (KİMYASAL GÜBRE VE AZOTLU BİLEŞİKLER HARİÇ)
2412,KİMYASAL GÜBRE VE AZOTLU BİLEŞİKLERİN İMALATI
2413,SENTETİK KAUÇUK VE PLASTİK HAMMADDELERİ İMALATI
2421,PESTİSİT (HAŞARAT İLACI) VE DİĞER ZİRAİ-KİMYASAL ÜRÜNLERİN İMALATI
2422,"BOYA, VERNİK V.B. KAPLAYICI MADDELER İLE MATBAA MÜREKKEBİ VE MACUN İMALATI"
2423,ECZACILIKTA VE TIPTA KULLANILAN KİMYASAL VE BİTKİSEL KAYNAKLI ÜRÜNLERİN İMALATI
2424,"SABUN VE DETERJAN, TEMİZLİK VE CİLALAMA MADDELERİ; PARFÜM; KOZMETİK VE TUVALET MALZEMELERİ İMALATI"
2429,B.Y.S. KİMYASAL ÜRÜNLERİN İMALATI
2430,SUNİ VE SENTETİK ELYAF İMALATI
2511,İÇ VE DIŞ LASTİK İMALATI; LASTİĞE SIRT GEÇİRİLMESİ VE YENİDEN İŞLENMESİ
2519,DİĞER KAUÇUK ÜRÜNLERİ İMALATI
2520,PLASTİK ÜRÜNLERİ İMALATI
2610,CAM VE CAM ÜRÜNLERİ İMALATI
2691,"YAPI MALZEMELERİ DIŞINDAKİ, ATEŞE DAYANIKLI OLMAYAN SERAMİK EŞYA İMALATI (ÇANAK, ÇÖMLEK, ÇİNİ, PORSELEN VB.)"
2692,ATEŞE DAYANIKLI SERAMİK ÜRÜNLERİN İMALATI
