OSB İli,OSB Ünvanı
Adana,Adana Gıda İhtisas
Adana,Adana Hacı Sabancı
Adana,Adana Karataş TDİ (Su Ürünleri)
Adana,Adana TDİ (Sera)
Adana,Ceyhan
Adana,Kozan
Adıyaman,Adıyaman
Adıyaman,Adıyaman Gölbaşı
Adıyaman,Adıyaman Kahta
Adıyaman,Besni
Adıyaman,Kuyulu
Adıyaman,Örenli
Afyonkarahisar,Afyonkarahisar
Afyonkarahisar,Afyonkarahisar Bolvadin
Afyonkarahisar,Afyonkarahisar Bolvadin TDİ(Besi)
Afyonkarahisar,Afyonkarahisar Çay Jeotermal Kaynaklı Sera TDİOSB
Afyonkarahisar,Afyonkarahisar Dazkırı Dokuma ve Konfeksiyon
Afyonkarahisar,Afyonkarahisar Emirdağ
Afyonkarahisar,Afyonkarahisar Merkez II
Afyonkarahisar,Afyonkarahisar-Dinar
Afyonkarahisar,İscehisar Mermer İhtisas
Afyonkarahisar,Sandıklı
Afyonkarahisar,Şuhut
Ağrı,Ağrı
Ağrı,Ağrı Diyadin (Sera) TDİ (Jeotermal)
Aksaray,Aksaray
Aksaray,Aksaray Eskil Tuz Gölü
Aksaray,Aksaray Gülağaç Gülpınar
Aksaray,Aksaray Karkın TDİ (Jeo.Kayn.Sera)
Aksaray,Aksaray Ortaköy Yunus Emre
Aksaray,Aksaray Sarıyahşi
Aksaray,Aksaray Sultanhanı
Amasya,Amasya
Amasya,Amasya Merzifon
Amasya,Suluova
Amasya,Suluova Besi
Ankara,Anadolu
Ankara,Ankara Dökümcüler İhtisas
Ankara,Ankara Sanayi Odası 2.ve 3.
Ankara,Ankara Sanayi Odası I.
Ankara,Ankara Uzay ve Havacılık İhtisas
Ankara,Ankara-Çubuk TDİ (Besi)
Ankara,Ankara-İvedik
Ankara,Başkent
Ankara,Beypazarı
Ankara,Elmadağ Mobilyacılar İhtisas
Ankara,Ostim
Ankara,Polatlı
Ankara,Polatlı Ticaret Odası
Ankara,Şereflikoçhisar
Antalya,Antalya
Antalya,Kaş Gıda İhtisas
Antalya,Korkuteli
Antalya,Manavgat
Ardahan,Ardahan
Artvin,Artvin Arhavi
Aydın,Aydın
Aydın,Aydın ASTİM
Aydın,Aydın Efeler TDİ (Jeo.Isıtmalı.Sera)
Aydın,Aydın-Nazilli
Aydın,Buharkent
Aydın,Çine
Aydın,Ortaklar
Aydın,Söke
Balıkesir,Balıkesir
Balıkesir,Balıkesir Ayvalık Gıda ve Gıda İşleme İhtisas
Balıkesir,Balıkesir Bigadiç Jeotermal Kaynaklı TDI (Sera) OSB
Balıkesir,Balıkesir Edremit TDİ(Jeo.Kayn.Sera)
Balıkesir,Balıkesir Gönen TDİ (jeo.Kayn.Sera)
Balıkesir,Bandırma
Balıkesir,Burhaniye Zeytin ve Zeytin Ürünleri İşleme İhtisas ve Karma
Balıkesir,Dursunbey
Balıkesir,Gönen Deri ihtisas Ve Karma
Balıkesir,Marmara Yüksek Teknoloji ve Makine İhtisas
Bartın,Bartın Merkez I
Batman,Batman İli
Bayburt,Bayburt
Bilecik,Bilecik 3.
Bilecik,Bilecik Bozüyük
Bilecik,Bilecik I.
Bilecik,Bilecik II
Bilecik,Gölpazarı Gıda İhtisas
Bilecik,Osmaneli
Bilecik,Pazaryeri
Bilecik,Söğüt
Bingöl,Bingöl
Bitlis,Bitlis
Bolu,Bolu karma ve tekstil ihtisas
Bolu,Gerede
Bolu,Gerede Deri İhtisas
Bolu,Yeniçağa
Burdur,Burdur
