SERBEST BÖLGENİN ADI
Adana-Yumurtalık Serbest Bölge Müdürlüğü
Antalya Serbest Bölge Müdürlüğü
Avrupa Serbest Bölge Müdürlüğü
Bursa Serbest Bölge Müdürlüğü
Denizli Serbest Bölge Müdürlüğü
Ege Serbest Bölge Müdürlüğü
Gaziantep Serbest Bölge Müdürlüğü
İstanbul Atatürk Havalimanı Serbest Bölge Müdürlüğü
İstanbul Endüstri ve Ticaret Serbest Bölge Müdürlüğü
İstanbul Trakya Serbest Bölge Müdürlüğü
İzmir Serbest Bölge Müdürlüğü
Kayseri Serbest Bölge Müdürlüğü
Kocaeli Serbest Bölge Müdürlüğü
Mersin Serbest Bölge Müdürlüğü
Rize Serbest Bölge Müdürlüğü
Samsun Serbest Bölge Müdürlüğü
Trabzon Serbest Bölge Müdürlüğü
TÜBİTAK Mam Teknoloji Serbest Bölge Müdürlüğü
