;;;;
;İL KOD;İLADI;İLCEKOD;İLCEADI
;1;Adana;1757;Aladağ
;1;Adana;1219;Ceyhan
;1;Adana;2033;Çukurova
;1;Adana;1329;Feke
;1;Adana;1806;İmamoğlu
;1;Adana;1437;Karaisalı
;1;Adana;1443;Karataş
;1;Adana;1486;Kozan
;1;Adana;1580;Pozantı
;1;Adana;1588;Saimbeyli
;1;Adana;2032;Sarıçam
;1;Adana;1104;Seyhan
;1;Adana;1687;Tufanbeyli
;1;Adana;1734;Yumurtalık
;1;Adana;1748;Yüreğir
;2;Adıyaman;1105;Adıyaman Merkez
;2;Adıyaman;1182;Besni
;2;Adıyaman;1246;Çelikhan
;2;Adıyaman;1347;Gerger
;2;Adıyaman;1354;Gölbaşı / Adıyaman
;2;Adıyaman;1425;Kahta
;2;Adıyaman;1592;Samsat
;2;Adıyaman;1985;Sincik
;2;Adıyaman;1989;Tut
;3;Afyonkarahisar;1108;Afyonkarahisar Merkez
;3;Afyonkarahisar;1771;Başmakçı
;3;Afyonkarahisar;1773;Bayat / Afyonkarahisar
;3;Afyonkarahisar;1200;Bolvadin
;3;Afyonkarahisar;1239;Çay
;3;Afyonkarahisar;1906;Çobanlar
;3;Afyonkarahisar;1267;Dazkırı
;3;Afyonkarahisar;1281;Dinar
;3;Afyonkarahisar;1306;Emirdağ
;3;Afyonkarahisar;1923;Evciler
;3;Afyonkarahisar;1944;Hocalar
;3;Afyonkarahisar;1404;İhsaniye
;3;Afyonkarahisar;1809;İscehisar
;3;Afyonkarahisar;1961;Kızılören
;3;Afyonkarahisar;1594;Sandıklı
;3;Afyonkarahisar;1626;Sinanpaşa
;3;Afyonkarahisar;1639;Sultandağı
;3;Afyonkarahisar;1664;Şuhut
;4;Ağrı;1111;Ağrı Merkez
;4;Ağrı;1283;Diyadin
;4;Ağrı;1287;Doğubayazıt
;4;Ağrı;1301;Eleşkirt
;4;Ağrı;1379;Hamur
;4;Ağrı;1568;Patnos
;4;Ağrı;1667;Taşlıçay
;4;Ağrı;1691;Tutak
;5;Amasya;1134;Amasya Merkez
;5;Amasya;1363;Göynücek
;5;Amasya;1368;Gümüşhacıköy
;5;Amasya;1938;Hamamözü
;5;Amasya;1524;Merzifon
;5;Amasya;1641;Suluova
;5;Amasya;1668;Taşova
;6;Ankara;1872;Akyurt
;6;Ankara;1130;Altındağ
;6;Ankara;1157;Ayaş
;6;Ankara;1167;Bala
;6;Ankara;1187;Beypazarı
;6;Ankara;1227;Çamlıdere
;6;Ankara;1231;Çankaya
;6;Ankara;1260;Çubuk
;6;Ankara;1302;Elmadağ
;6;Ankara;1922;Etimesgut
;6;Ankara;1924;Evren
;6;Ankara;1744;Gölbaşı / Ankara
;6;Ankara;1365;Güdül
;6;Ankara;1387;Haymana
;6;Ankara;1427;Kalecik
;6;Ankara;1815;Kazan
;6;Ankara;1745;Keçiören
;6;Ankara;1473;Kızılcahamam
;6;Ankara;1746;Mamak
;6;Ankara;1539;Nallıhan
;6;Ankara;1578;Polatlı
;6;Ankara;2034;Pursaklar
;6;Ankara;1747;Sincan
;6;Ankara;1658;Şereflikoçhisar
;6;Ankara;1723;Yenimahalle
;7;Antalya;1121;Akseki
;7;Antalya;2035;Aksu / Antalya
;7;Antalya;1126;Alanya
;7;Antalya;1811;Demre
;7;Antalya;2036;Döşemealtı
;7;Antalya;1303;Elmalı
;7;Antalya;1333;Finike
;7;Antalya;1337;Gazipaşa
;7;Antalya;1370;Gündoğmuş
;7;Antalya;1946;İbradı
;7;Antalya;1451;Kaş
;7;Antalya;1959;Kemer / Antalya
;7;Antalya;2037;Kepez
;7;Antalya;2038;Konyaaltı
;7;Antalya;1483;Korkuteli
;7;Antalya;1492;Kumluca
;7;Antalya;1512;Manavgat
;7;Antalya;2039;Muratpaşa
;7;Antalya;1616;Serik
;8;Artvin;1145;Ardanuç
;8;Artvin;1147;Arhavi
;8;Artvin;1152;Artvin Merkez
;8;Artvin;1202;Borçka
;8;Artvin;1395;Hopa
;8;Artvin;1828;Murgul
;8;Artvin;1653;Şavşat
;8;Artvin;1736;Yusufeli
;9;Aydın;1159;Aydın Merkez
;9;Aydın;1206;Bozdoğan
;9;Aydın;1781;Buharkent
;9;Aydın;1256;Çine
;9;Aydın;2000;Didim
;9;Aydın;1348;Germencik
;9;Aydın;1807;İncirliova
;9;Aydın;1435;Karacasu
;9;Aydın;1957;Karpuzlu
