;;;;
;ÖLÇÜ BİRİMİ;KODU;;
;ADET(UNIT);C62;;
;KİLOGRAM;KGM;;
;METRE KARE;MTK;;
;METRE;MTR;;
;ÇİFT;PR;;
;LİTRE;LTR;;
;ADET-ÇİFT;CPR;;
;AFİF birim fiyatı;AFF;;
;ALTIN AYARI;AYR;;
;ATV birim fiyatı;AKQ;;
;AZOTUN KİLOGRAMI;KNI;;
;BAS;BAS;;
;BİN ADET;T3;;
;BİN KİLOWATT SAAT;TWH;;
;BİN LİTRE;D40;;
;BİN METRE KÜP;R9;;
;BRÜT KALORİ DEĞERİ;D30;;
;DİFOSFOR PENTAOKSİT KİLOGRAMI;KFO;;
;FISSILE İZOTOP GRAMI;GFI;;
;GRAM;GRM;;
;GROSS TON;GT;;
;GÜMÜŞ;GMS;;
;HİDROJEN PEROKSİT KİLOGRAMI;KHO;;
;HÜCRE ADEDİ;NCL;;
;KARAT;NCR;;
;Kg POTASYUM OKSİD;KPH;;
;KG-METRE KARE;B32;;
;KİLOGRAM POTASYUM HİDROKSİT;KOH;;
;KİLOGRAM POTASYUM OKSİT;K20;;
;KİLOGRAM-ADET;K62;;
;KİLOGRAM-BAŞ;KH6;;
;KİLOGRAM-ÇİFT;KPR;;
;KİLOWATT;KWT;;
;KİLOWATT SAAT;KWH;;
;KURUTULMUŞ NET AĞIRLIK KİLOGRAMI;K58;;
;METİL AMİNLERİN KİLOGRAMI;KMA;;
;METRE KÜP;MTQ;;
;OTV birim fiyatı;OTB;;
;OTV Maktu Vergi;OMV;;
;SAF ALKOL LİTRESİ;LPA;;
;SET;SET;;
;SODYUM HİDROKSİT KİLOGRAMI;KSH;;
;TON BAŞINA TAŞIMA KAPASİTESİ;CCT;;
;URANYUM KİLOGRAMI;KUR;;
;YÜZ ADET;H62;;
;%90 KURU ÜZÜM KİLOGRAMI;KSD;;
;-;-;;
