;;;;
;;;;
;DİĞER KURUM-3(21.08.2020);;Bu Karar kapsamındaki destek unsurlarından yararlanan yatırım harcamaları, diğer kamu kurum ve kuruluşlarının desteklerinden yararlanamaz. Diğer kamu kurum ve kuruluşlarının desteklerinden yararlanılan veya yararlanılacak yatırım harcamaları için, bu Karar kapsamındaki desteklerden yararlanmak üzere Bakanlığa müracaat edilemez. Bu madde hükmüne aykırı davranılması halinde, bu Karar kapsamında yararlanılan destekler ilgili mevzuat çerçevesinde geri alınır. Ancak, diğer kamu kurum ve kuruluşlarının sadece sübvansiyonlu kredi desteğinden yararlanan yatırımlar, sübvansiyonlu krediye faiz veya kâr payı desteği sağlanmaması kaydıyla, bu Karar kapsamındaki destek unsurlarından yararlandırılabilir;
;BÖL - SGK NO;;Tamamlama vizesi yapılmadan ve SGK iş yeri sicil numarası teşvik belgesine kaydettirilmeden Sigorta Primi İşveren Hissesi Desteği uygulanmaz.;
;BÖL 3305-SGK:Bölgesel-1.Bölge;;;
;BÖL 3305-SGK:Bölgesel-2.Bölge;;;
;BÖL 3305-SGK:Bölgesel-3.Bölge;;;
;BÖL 3305-SGK:Bölgesel-4.Bölge;;;
;BÖL 3305-SGK:Bölgesel-5.Bölge;;Yararlanılan sigorta primi işveren hissesi desteği tutarı, gerçekleşen sabit yatırım tutarının %35`ini geçemez.;
;BÖL- Faliyet Zorunlukuğu;;Belge kapsamı yatırım, işletmeye geçiş tarihinden itibaren asgari 5 yıl süreyle bulunduğu bölgede faaliyette bulunmak zorundadır.;
;BÖL - Faiz Desteği;;;
;SİGORTA BAŞLAMA;;;
;ÖCELİKLİ YATIRIM;;;
;3305-Yatırım Konusu Zorunluluğu;;;
;FİNANSAL KİRALAMA;;;
;Kullanılmış Makine Münferit;;;
;DİĞER;;2012/3305 sayılı Kararın 5. maddesi gereğince, yatırım teşvik belgesine konu yatırım kapsamında belgede kayıtlı yatırım dönemi içerisinde asgari 1,5 milyon TL. (K.D.V. hariç) tutarında yatırım harcamasının gerçekleştirilmesi ve tamamlama vizesi esnasında firma tarafından sunulacak belgeler ile bu şartın tevsik edilmesi gerekmekte olup, aksi takdirde yatırım teşvik belgesi iptal edilecek ve belge kapsamında yararlanılan destekler geri alınacaktır.;
;İşyeri Açma ve Çalışma Ruhsatı;;Firma, yatırım tamamlama vizesi aşamasında İşyeri Açma ve Çalışma Ruhsatını tevsik edecektir.;
