DÖVİZ CİNSİ;KODU;;;
Avrupa Topluluğu Para Birimi;EUR;;;
AMERİKA BİRLEŞİK DEVLETLERİ DOLARI;USD;;;
TÜRK LİRASI;TRL;;;
UAE DIRAHMİSİ;AED;;;
ALTIN KURU;ALT;;;
ERMENİSTAN DRAHMİSİ;AMD;;;
HOLLANDA ANTİLLERİ GULDENİ;ANG;;;
AVUSTURYA ŞİLİN;ATS;;;
AVUSTRALYA DOLARI;AUD;;;
ARUBAN GULDENİ;AWG;;;
BANGLADEŞ TAKASI;BDT;;;
Belçika Frangı;BEF;;;
BAHREYN DİNARI;BHD;;;
BURUNDİ FRANGI;BIF;;;
BERMUDA DOLARI;BMD;;;
BURUNEİ DOLARI;BND;;;
BAHAMA DOLARI;BSD;;;
BOTSVANA PULASI;BWP;;;
KANADA DOLARI;CAD;;;
İSVİÇRE FRANGI;CHF;;;
Çin Yuanı;CNY;;;
KIBRIS POUNDU;CYP;;;
ÇEK KORUNASI;CZK;;;
ALMAN MARKI;DEM;;;
DJİBOUTİ FRANGI;DJF;;;
DANİMARKA KRONU;DKK;;;
CEZAYİR DİNARI;DZD;;;
AVRUPA PARA BİRİMİ;ECU;;;
MISIR POUNDU;EGP;;;
İSPANYOL PEZETASI;ESP;;;
FİN MARKKASI;FIM;;;
FİJİ DOLARI;FJD;;;
FRANSIZ FRANGI;FRF;;;
İNGİLİZ STERLİNİ;GBP;;;
GIBRALTAR POUNDU;GIP;;;
YUNAN DRAHMİSİ;GRD;;;
HONG KONG;HKD;;;
MACAR FORİNTİ;HUF;;;
İRLANDA LİRASI;IEP;;;
HİNDİSTAN RUPESİ;INR;;;
IRAK DİNARI;IOD;;;
IRAK DİNARI;IQD;;;
İRAN RİYALİ;IRR;;;
İTALYAN LİRETİ;ITL;;;
ÜRDÜN DİNARI;JOD;;;
JAPON YENİ;JPY;;;
KENYA ŞİLİNİ;KES;;;
KOMORO FRANGI;KMF;;;
KUZEY KORE WONU;KPW;;;
KORE WONU;KRW;;;
KUVEYT DİNARI;KWD;;;
LÜBNAN POUNDU;LBP;;;
SİRİLANKA RUPEESİ;LKR;;;
LİBERYA DOLARI;LRD;;;
LESOTHO LOTİSİ;LSL;;;
LÜKSEMBURG FRANGI;LUF;;;
LİBYA DİNARI;LYD;;;
FAS DİRHEMİ;MAD;;;
MEYANMAR KİYATI;MMK;;;
MAKAO PATACASI;MOP;;;
MORİTANYA OUGUİYA;MRO;;;
MALTA LİRASI;MTL;;;
MALTA PONDU;MTP;;;
MAURİTİUS RUPEESİ;MUR;;;
MEKSİKA POUNDU;MXP;;;
MALEZYA RİNGİTİ;MYR;;;
MOZAMBİK METİKALİ;MZM;;;
NAMİBYA DOLARI;NAD;;;
HOLLANDA FLORİNİ;NLG;;;
NORVEÇ KRONU;NOK;;;
YENİ ZELENDA;NZD;;;
UMMAN RİYALİ;OMR;;;
PAPUA YENİ GİNE KİNASI;PGK;;;
FİLİPİN PEZOSU;PHP;;;
PAKİSTAN RUPEESİ;PKR;;;
POLONYA ZLOTİSİ;PLN;;;
PORTEKİZ ESKÜDOSU;PTE;;;
KATAR RİYALİ;QAR;;;
RUS RUBLESİ;RUB;;;
SUUDİ ARABİSTAN RİYALİ;SAR;;;
SOLOMON ADALARI DOLARI;SBD;;;
SEYŞEL RUPEESİ;SCR;;;
SUDAN DİNARI;SDD;;;
ISVEÇ KRONU;SEK;;;
SİNGAPUR DOLARI;SGD;;;
SLOVENYA DOLARI;SIT;;;
SLOVAK KORUNASI;SKK;;;
SOMALİ ŞİLİNİ;SOS;;;
SURİYE LİRASI;SYP;;;
SWAZILAND LİLANGELİ;SZL;;;
Kazakistan;TEN;;;
TAYLAND BAHTI;THB;;;
Türkmenistan Maratı;TMM;;;
TUNUS DİNARI;TND;;;
TONGA PA'ANGASI;TOP;;;
TAIWAN DOLARI;TWD;;;
TANZANYA ŞİLİNİ;TZS;;;
Ukraine Hryvnia;UAH;;;
UGANDA ŞİLİNİ;UGS;;;
URUGUAY PEZOSU;UYP;;;
Uzbekistan Sumu;UZS;;;
VENEZUELLA BOLİVARI;VEB;;;
VANUATU VATUSU;VUV;;;
SAMUA TALASI;WST;;;
CFA FRANGI;XAF;;;
CFA FRANGI;XOF;;;
CFP FRANGI;XPF;;;
YEMEN DİNARI;YDD;;;
YEMEN RİYALİ;YER;;;
G. AFRİKA PARASI;ZAR;;;
ZAİRE ZAİRESİ;ZRZ;;;
ZİMBABVE DOLARI;ZWD;;;
YENİ TÜRK KURUŞU;YKR;;;
GÜRCİSTAN LARİSİ;GEL;;;
