KÜNYE BİLGLERİ,,,,,,,,,,,,,,,,,YATIRIM BİLGLERİ,,,,,,,,,,,,,,,,,İSTİHDAM,,ÜRÜN BİLGLERİ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESTEK UNSURLARI,,,,,,,,,,,,,,,,ÖZEL ŞARTLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,FİNANSAL BİLGLER,,,,,,,,,,,,,,,,,,,,,,,,,,
YATIRIMCI,,,,,,BELGE BİLGLERİ,,,,,,,,,,,YATIRIM İLE İLGİLİ BİLGLER,,,,,,,,,,,,,,,,,İSTİHDAM,,ÜRÜN BİLGLERİ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DESTEK UNSURLARI,,,,,,,,,,,,,,,,ÖZEL ŞARTLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,FİNANSAL BİLGLER,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM ID,TALEP/SONUÇ,REVIZE ID,FIRMA ID,YATIRIMCI UNVAN,SGK SİCİL NO,BELGE ID,BELGE NO,BELGE TARIHI,BELGE MURACAAT TARIHI,MÜRACAAT SAYISI,BELGE BASLAMA TARIHI,BELGE BITIS TARIHI,SÜRE UZATIM TARİHİ,ÖZELLİKLİ YATIRIM İSE,DAYANDIĞI KANUN,BELGE DURUMU,2-YATIRIM KONUSU,3-CINSI(1),3-CINSI(2),3-CINSI(3),3-CINSI(4),DESTEK SINIFI,YERI IL,YERI ILCE,ADA,PARSEL,YATIRIM ADRESI(1),YATIRIM ADRESI(2),YATIRIM ADRESI(3),OSB ISE MUDURLUK,İL BAZLI BÖLGE,İLÇE BAZLI BÖLGE,SERBEST BÖLGE,Mevcut Kişi,İlave Kişi,US97 Kodu (1),Ürün(1),Mevcut(1),İlave(1),Toplam(1),Kapsite Birimi(1),US97 Kodu (2),Ürün(2),Mevcut(2),İlave(2),Toplam(2),Kapsite Birimi(2),US97 Kodu (3),Ürün(3),Mevcut(3),İlave(3),Toplam(3),Kapsite Birimi(3),US97 Kodu (4),Ürün(4),Mevcut(4),İlave(4),Toplam(4),Kapsite Birimi(4),US97 Kodu (5),Ürün(5),Mevcut(5),İlave(5),Toplam(5),Kapsite Birimi(5),US97 Kodu (6),Ürün(6),Mevcut(6),İlave(6),Toplam(6),Kapsite Birimi(6),US97 Kodu (7),Ürün(7),Mevcut(7),İlave(7),Toplam(7),Kapsite Birimi(7),US97 Kodu (8),Ürün(8),Mevcut(8),İlave(8),Toplam(8),Kapsite Birimi(8),US97 Kodu (9),Ürün(9),Mevcut(9),İlave(9),Toplam(9),Kapsite Birimi(9),Destek Unusrları(1),Şartları(1),Destek Unusrları(2),Şartları(2),Destek Unusrları(3),Şartları(3),Destek Unusrları(4),Şartları(4),Destek Unusrları(5),Şartları(5),Destek Unusrları(6),Şartları(6),Destek Unusrları(7),Şartları(7),Destek Unusrları(8),Şartları(8),Özel Şart Kısaltma 1,Özelşart Notu 1,Özel Şart Kısaltma 2,Özelşart Notu 2,Özel Şart Kısaltma 3,Özelşart Notu 3,Özel Şart Kısaltma 4,Özelşart Notu 4,Özel Şart Kısaltma 5,Özelşart Notu 5,Özel Şart Kısaltma 6,Özelşart Notu 6,Özel Şart Kısaltma 7,Özelşart Notu 7,Özel Şart Kısaltma 8,Özelşart Notu 8,Özel Şart Kısaltma 9,Özelşart Notu 9,Özel Şart Kısaltma 10,Özelşart Notu 10,Özel Şart Kısaltma 11,Özelşart Notu 11,Özel Şart Kısaltma 12,Özelşart Notu 12,Özel Şart Kısaltma 13,Özelşart Notu 13,Özel Şart Kısaltma 14,Özelşart Notu 14,Arazi-Arsa Bedeli Açıklama,Metrekaresi,Birim Fiyatı TL,ARAZİ ARSA BEDELİ,Bina İnşaat Gideri Açıklama,Ana Bina ve Tesisleri,Yardımcı İş. Bina ve Tesisleri,İdare Binaları,TOPLAM BİNA İNŞAAT GİDERİ,Yardımcı İşl. Mak. Teç. Gid.,İthalat ve Güm.Giderleri,Taşıma ve Sigorta Giderleri,Montaj Giderleri,Etüd ve Proje Giderleri,Diğer Giderleri,TOPLAM DİĞER YATIRIM HARCAMALARI,TOPLAM SABİT YATIRIM TUTARI TL,İthal,Yerli,Toplam Makine Teçhizat,Yeni Makine,Kullanılmış Makine,TOPLAM İTHAL MAKİNE ($),Toplam Yabancı Kaynak,Öz kaynak,TOPLAM FİNANSMAN,REVIZE TARIHI
TES20250010,inceleniyor,0,A000030,AFYON DOMATES MADEN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,A66666,A66666,2033-05-28T00:00:00.000Z,2033-05-28T00:00:00.000Z,,2035-05-28T00:00:00.000Z,,,hayır,2018/11201,inceleniyor,0113,,,,,Bölgesel Alt Bölge 18-1-b,,,,,Antalya,,,,,,,44,10,0111.0.01,Durum buğdayı (makarnalık buğday),300000,100000,400000,ADET/DEVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigorta Primi İşveren Hissesi,Yatırıma Katkı Oranı:%20 - Vergi İndirim %55 (2. Bölge),Gümrük Vergisi Muafiyeti,Yatırıma Katkı Oranı:%30 - Vergi İndirim %70 (4. Bölge),,,,,,,,,,,,,BÖL - SGK NO,Bölgesel teşvik kapsamında,BÖL - Faiz Desteği,Finansal kiralama şartları uygulanır,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10000000000,,5000000000,45000000000,0,50000000000,0,4,4,4,4,3,19,60000004907,444,4444,4888,444,0,444,89382220,59910622687,60000004907,06.08.2025 16:05:26
TES20250010,taslak,1,A000030,AFYON DOMATES MADEN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,A66666,A66666,2033-05-28T00:00:00.000Z,2033-05-28T00:00:00.000Z,,2035-05-28T00:00:00.000Z,,,hayır,2018/11201,taslak,0113,,,,,Bölgesel Alt Bölge 18-1-b,,,,,Antalya,,,,,,,44,10,0111.0.01,Durum buğdayı (makarnalık buğday),50000,22000000,22050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BÖL - SGK NO,Bölgesel teşvik kapsamında,BÖL - Faiz Desteği,Finansal kiralama şartları uygulanır,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,5000000000,45000000000,0,55000000000,0,4,4,4,4,3,19,0,444,4444,4888,444,0,444,89382220,"2,5E+19","2,5E+19",06.08.2025 16:06:44
TES20250010,inceleniyor,2,A000030,AFYON DOMATES MADEN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,A66666,A66666,2033-05-28T00:00:00.000Z,2033-05-28T00:00:00.000Z,,2035-05-28T00:00:00.000Z,,,hayır,2018/11201,inceleniyor,0113,,,,,Bölgesel Alt Bölge 18-1-b,,,,,Antalya,,,,,,,44,10,0111.0.01,Durum buğdayı (makarnalık buğday),300000,100000,400000,ADET/DEVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigorta Primi İşveren Hissesi,Yatırıma Katkı Oranı:%20 - Vergi İndirim %55 (2. Bölge),Gümrük Vergisi Muafiyeti,Yatırıma Katkı Oranı:%30 - Vergi İndirim %70 (4. Bölge),,,,,,,,,,,,,BÖL - SGK NO,Bölgesel teşvik kapsamında,BÖL - Faiz Desteği,Finansal kiralama şartları uygulanır,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10000000000,,5000000000,45000000000,0,50000000000,0,4,4,4,4,3,19,60000004907,444,4444,4888,444,0,444,89382220,59910622687,60000004907,06.08.2025 16:15:44
TES20250010,revize_talep_edildi,3,A000030,AFYON DOMATES MADEN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,A66666,A66666,2033-05-28T00:00:00.000Z,2033-05-28T00:00:00.000Z,,2035-05-28T00:00:00.000Z,,,hayır,2018/11201,revize_talep_edildi,0113,,,,,Bölgesel Alt Bölge 18-1-b,,,,,Antalya,,,,,,,44,10,0111.0.01,Durum buğdayı (makarnalık buğday),50000000,22000000,72000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigorta Primi İşveren Hissesi,Yatırıma Katkı Oranı:%20 - Vergi İndirim %55 (2. Bölge),Gümrük Vergisi Muafiyeti,Yatırıma Katkı Oranı:%30 - Vergi İndirim %70 (4. Bölge),,,,,,,,,,,,,BÖL - SGK NO,Bölgesel teşvik kapsamında,BÖL - Faiz Desteği,Finansal kiralama şartları uygulanır,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,5000000000,45000000000,0,50000000000,0,4,4,4,4,3,19,0,444,4444,4888,444,0,444,89382220,"2,5E+19","2,5E+19",06.08.2025 16:22:18
TES20250010,revize_talep_edildi,4,A000030,AFYON DOMATES MADEN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,A66666,A66666,2033-05-28T00:00:00.000Z,2033-05-28T00:00:00.000Z,,2035-05-28T00:00:00.000Z,,,hayır,2018/11201,revize_talep_edildi,0113,,,,,Bölgesel Alt Bölge 18-1-b,,,,,Antalya,,,,,,,44,6,0111.0.01,Durum buğdayı (makarnalık buğday),50000000,22000000,72000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigorta Primi İşveren Hissesi,Yatırıma Katkı Oranı:%20 - Vergi İndirim %55 (2. Bölge),Gümrük Vergisi Muafiyeti,Yatırıma Katkı Oranı:%30 - Vergi İndirim %70 (4. Bölge),,,,,,,,,,,,,BÖL - SGK NO,Bölgesel teşvik kapsamında,BÖL - Faiz Desteği,Finansal kiralama şartları uygulanır,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,5000000000,45000000000,0,50000000000,0,4,4,4,4,3,19,0,444,4444,4888,444,0,444,89382220,"2,5E+19","2,5E+19",06.08.2025 16:57:15
TES20250010,inceleniyor,5,A000030,AFYON DOMATES MADEN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,A66666,A66666,2033-05-28T00:00:00.000Z,2033-05-28T00:00:00.000Z,,2035-05-28T00:00:00.000Z,,,hayır,2018/11201,inceleniyor,0113,,,,,Bölgesel Alt Bölge 18-1-b,,,,,Antalya,,,,,,,44,10,0111.0.01,Durum buğdayı (makarnalık buğday),300000,100000,400000,ADET/DEVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigorta Primi İşveren Hissesi,Yatırıma Katkı Oranı:%20 - Vergi İndirim %55 (2. Bölge),Gümrük Vergisi Muafiyeti,Yatırıma Katkı Oranı:%30 - Vergi İndirim %70 (4. Bölge),,,,,,,,,,,,,BÖL - SGK NO,Bölgesel teşvik kapsamında,BÖL - Faiz Desteği,Finansal kiralama şartları uygulanır,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10000000000,,5000000000,45000000000,0,50000000000,0,4,4,4,4,3,19,60000004907,444,4444,4888,444,0,444,89382220,59910622687,60000004907,06.08.2025 17:14:55
TES20250010,inceleniyor,6,A000030,AFYON DOMATES MADEN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,A66666,A66666,2033-05-28T00:00:00.000Z,2033-05-28T00:00:00.000Z,,2035-05-28T00:00:00.000Z,,,hayır,2018/11201,inceleniyor,0113,,,,,Bölgesel Alt Bölge 18-1-b,,,,,Antalya,,,,,,,10,10,0111.0.01,Durum buğdayı (makarnalık buğday),300000,100000,400000,ADET/DEVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigorta Primi İşveren Hissesi,Yatırıma Katkı Oranı:%20 - Vergi İndirim %55 (2. Bölge),Gümrük Vergisi Muafiyeti,Yatırıma Katkı Oranı:%30 - Vergi İndirim %70 (4. Bölge),,,,,,,,,,,,,BÖL 3305-SGK:Bölgesel-1.Bölge,İşyeri ruhsatı zorunlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10000000000,,5000000000,45000000000,0,50000000000,0,4,4,4,4,3,19,60000004907,444,4444,4888,444,0,444,89382220,59910622687,60000004907,06.08.2025 17:35:48
TES20250010,inceleniyor,7,A000030,AFYON DOMATES MADEN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,A66666,A66666,2033-05-28T00:00:00.000Z,2033-05-28T00:00:00.000Z,,2035-05-28T00:00:00.000Z,,,hayır,2018/11201,inceleniyor,0113,,,,,Bölgesel Alt Bölge 18-1-b,,,,,Antalya,,,,,,,10,11,0111.0.01,Durum buğdayı (makarnalık buğday),300000,100000,400000,ADET/DEVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigorta Primi İşveren Hissesi,Yatırıma Katkı Oranı:%20 - Vergi İndirim %55 (2. Bölge),,,,,,,,,,,,,,,Yeni Özel Şart,Yeni Özel Şart Notu,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10000000000,,5000000000,45000000000,0,50000000000,0,4,4,4,4,3,19,60000004907,444,4444,4888,444,0,444,89382220,59910622687,60000004907,07.08.2025 12:03:00
TES20250010,inceleniyor,8,A000030,AFYON DOMATES MADEN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,A66666,A66666,2033-05-28T00:00:00.000Z,2033-05-28T00:00:00.000Z,,2035-05-28T00:00:00.000Z,,,hayır,2018/11201,inceleniyor,0113,,,,,Bölgesel Alt Bölge 18-1-b,,,,,Antalya,,,,,,,44,10,0111.0.01,Durum buğdayı (makarnalık buğday),300000,100000,400000,ADET/DEVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigorta Primi İşveren Hissesi,Yatırıma Katkı Oranı:%20 - Vergi İndirim %55 (2. Bölge),Gümrük Vergisi Muafiyeti,Yatırıma Katkı Oranı:%30 - Vergi İndirim %70 (4. Bölge),,,,,,,,,,,,,BÖL - SGK NO,Bölgesel teşvik kapsamında,BÖL - Faiz Desteği,Finansal kiralama şartları uygulanır,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10000000000,,5000000000,45000000000,0,50000000000,0,4,4,4,4,3,19,60000004907,444,4444,4888,444,0,444,89382220,59910622687,60000004907,07.08.2025 12:30:33
TES20250010,inceleniyor,9,A000030,AFYON DOMATES MADEN SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,A66666,A66666,2033-05-28T00:00:00.000Z,2033-05-28T00:00:00.000Z,,2035-05-28T00:00:00.000Z,,,hayır,2018/11201,inceleniyor,0113,,,,,Bölgesel Alt Bölge 18-1-b,,,,,Antalya,,,,,,,44,10,0111.0.01,Durum buğdayı (makarnalık buğday),300000,100000,400000,ADET/DEVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigorta Primi İşveren Hissesi,Yatırıma Katkı Oranı:%20 - Vergi İndirim %55 (2. Bölge),Gümrük Vergisi Muafiyeti,Yatırıma Katkı Oranı:%30 - Vergi İndirim %70 (4. Bölge),,,,,,,,,,,,,BÖL - SGK NO,Bölgesel teşvik kapsamında,BÖL - Faiz Desteği,Finansal kiralama şartları uygulanır,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10000000000,,5000000000,45000000000,0,50000000000,0,4,4,4,4,3,19,60000004907,444,4444,4888,444,0,444,89382220,59910622687,60000004907,07.08.2025 12:31:24
