TEŞVİK LİSTESİ ÖZET RAPORU;;;;;;;
;;;;;;;
Toplam Kayıt:;732;;Rapor Tarihi:;25.03.2026;;;
;;;;;;;
GM ID;Teşvik ID;Firma;Durum;İl;Proje Bedeli;Teşvik Miktarı;Oluşturma Tarihi
GM2026001;TES20260003;;taslak;;0;0;
GM2026001;TES20260004;;taslak;;0;0;
GM2026001;TES20260005;;taslak;;0;0;
GM2026001;TES20260006;;taslak;;0;0;
GM2026001;TES20260007;;taslak;;0;0;
GM2026001;TES20260008;;taslak;;0;0;
GM2026001;TES20260009;;taslak;;0;0;
GM2026001;TES20260010;;taslak;;0;0;
GM2026001;TES20260011;;taslak;;0;0;
GM2026001;TES20260012;;taslak;;0;0;
GM2026001;TES20260013;;taslak;;0;0;
GM2026001;TES20260014;;taslak;;0;0;
GM2026001;TES20260015;;taslak;;0;0;
GM2026001;TES20260016;;taslak;;0;0;
GM2026001;TES20260017;;taslak;;0;0;
GM2026001;TES20260018;;taslak;;0;0;
GM2026001;TES20260019;;taslak;;0;0;
GM2026001;TES20260020;;taslak;;0;0;
GM2026001;TES20260021;;taslak;;0;0;
GM2026001;TES20260022;;taslak;;0;0;
GM2026001;TES20260023;;taslak;;0;0;
GM2026001;TES20260024;;taslak;;0;0;
GM2026001;TES20260025;;taslak;;0;0;
GM2026001;TES20260026;;taslak;;0;0;
GM2026001;TES20260027;;taslak;;0;0;
GM2026001;TES20260028;;taslak;;0;0;
GM2026001;TES20260029;;taslak;;0;0;
GM2026001;TES20260030;;taslak;;0;0;
GM2026001;TES20260031;;taslak;;0;0;
GM2026001;TES20260032;;taslak;;0;0;
GM2026001;TES20260033;;taslak;;0;0;
GM2026001;TES20260034;;taslak;;0;0;
GM2026001;TES20260035;;taslak;;0;0;
GM2026001;TES20260036;;taslak;;0;0;
GM2026001;TES20260037;;taslak;;0;0;
GM2026001;TES20260038;;taslak;;0;0;
GM2026001;TES20260039;;taslak;;0;0;
GM2026001;TES20260040;;taslak;;0;0;
GM2026001;TES20260041;;taslak;;0;0;
GM2026001;TES20260042;;taslak;;0;0;
GM2026001;TES20260043;;taslak;;0;0;
GM2026001;TES20260044;;taslak;;0;0;
GM2026001;TES20260045;;taslak;;0;0;
GM2026001;TES20260046;;taslak;;0;0;
GM2026001;TES20260047;;taslak;;0;0;
GM2026001;TES20260048;;taslak;;0;0;
GM2026001;TES20260049;;taslak;;0;0;
GM2026001;TES20260050;;taslak;;0;0;
GM2026001;TES20260051;;taslak;;0;0;
GM2026001;TES20260052;;taslak;;0;0;
GM2026001;TES20260053;;taslak;;0;0;
GM2026001;TES20260054;;taslak;;0;0;
GM2026001;TES20260055;;taslak;;0;0;
GM2026001;TES20260056;;taslak;;0;0;
GM2026001;TES20260057;;taslak;;0;0;
GM2026001;TES20260058;;taslak;;0;0;
GM2026001;TES20260059;;taslak;;0;0;
GM2026001;TES20260060;;taslak;;0;0;
GM2026001;TES20260061;;taslak;;0;0;
GM2026001;TES20260062;;taslak;;0;0;
GM2026001;TES20260063;;taslak;;0;0;
GM2026001;TES20260064;;taslak;;0;0;
GM2026001;TES20260065;;taslak;;0;0;
GM2026001;TES20260066;;taslak;;0;0;
GM2026001;TES20260067;;taslak;;0;0;
GM2026001;TES20260068;;taslak;;0;0;
GM2026001;TES20260069;;taslak;;0;0;
GM2026001;TES20260070;;taslak;;0;0;
GM2026001;TES20260071;;taslak;;0;0;
GM2026001;TES20260072;;taslak;;0;0;
GM2026001;TES20260073;;taslak;;0;0;
GM2026001;TES20260074;;taslak;;0;0;
GM2026001;TES20260075;;taslak;;0;0;
GM2026001;TES20260076;;taslak;;0;0;
